"plantNum","surv","date.in","date.out","daysout","c8.4","c10.2","c10.7","c18.1","tough","trich","lat","c.pca"
32,0,2016-09-05,2016-08-29,7,0.0726681682990633,0.0344174535721586,0.0371299470931297,0.01726054636614,115,73,0.003525,2.20458503767591
32,0,2016-09-05,2016-08-29,7,0.0726681682990633,0.0344174535721586,0.0371299470931297,0.01726054636614,115,73,0.003525,2.20458503767591
32,0,2016-09-05,2016-08-29,7,0.0726681682990633,0.0344174535721586,0.0371299470931297,0.01726054636614,115,73,0.003525,2.20458503767591
32,0,2016-09-05,2016-08-29,7,0.0726681682990633,0.0344174535721586,0.0371299470931297,0.01726054636614,115,73,0.003525,2.20458503767591
32,0,2016-09-05,2016-08-29,7,0.0726681682990633,0.0344174535721586,0.0371299470931297,0.01726054636614,115,73,0.003525,2.20458503767591
33,0,2016-09-05,2016-08-29,7,0.00485340374542487,0.0356308533420501,0.0392301653528075,0.0116782286384041,160,97.5,0.00913399999999998,2.14833524810672
33,0,2016-09-05,2016-08-29,7,0.00485340374542487,0.0356308533420501,0.0392301653528075,0.0116782286384041,160,97.5,0.00913399999999998,2.14833524810672
33,0,2016-09-05,2016-08-29,7,0.00485340374542487,0.0356308533420501,0.0392301653528075,0.0116782286384041,160,97.5,0.00913399999999998,2.14833524810672
33,0,2016-09-05,2016-08-29,7,0.00485340374542487,0.0356308533420501,0.0392301653528075,0.0116782286384041,160,97.5,0.00913399999999998,2.14833524810672
33,0,2016-09-05,2016-08-29,7,0.00485340374542487,0.0356308533420501,0.0392301653528075,0.0116782286384041,160,97.5,0.00913399999999998,2.14833524810672
34,1,2016-09-05,2016-08-29,7,0.0443722204978035,0.0308835817476055,0.0300220337653047,0.0112653219247306,127.5,95.5,0.00989399999999985,1.70831089107632
34,1,2016-09-05,2016-08-29,7,0.0443722204978035,0.0308835817476055,0.0300220337653047,0.0112653219247306,127.5,95.5,0.00989399999999985,1.70831089107632
34,1,2016-09-05,2016-08-29,7,0.0443722204978035,0.0308835817476055,0.0300220337653047,0.0112653219247306,127.5,95.5,0.00989399999999985,1.70831089107632
34,0,2016-09-05,2016-08-29,7,0.0443722204978035,0.0308835817476055,0.0300220337653047,0.0112653219247306,127.5,95.5,0.00989399999999985,1.70831089107632
34,0,2016-09-05,2016-08-29,7,0.0443722204978035,0.0308835817476055,0.0300220337653047,0.0112653219247306,127.5,95.5,0.00989399999999985,1.70831089107632
35,1,2016-09-05,2016-08-29,7,0.00331517363494742,0.0315516653018177,0.0428660861700622,0.0218213979585091,75,68.5,0.000831999999999944,2.59743031420798
35,1,2016-09-05,2016-08-29,7,0.00331517363494742,0.0315516653018177,0.0428660861700622,0.0218213979585091,75,68.5,0.000831999999999944,2.59743031420798
35,0,2016-09-05,2016-08-29,7,0.00331517363494742,0.0315516653018177,0.0428660861700622,0.0218213979585091,75,68.5,0.000831999999999944,2.59743031420798
35,0,2016-09-05,2016-08-29,7,0.00331517363494742,0.0315516653018177,0.0428660861700622,0.0218213979585091,75,68.5,0.000831999999999944,2.59743031420798
35,0,2016-09-05,2016-08-29,7,0.00331517363494742,0.0315516653018177,0.0428660861700622,0.0218213979585091,75,68.5,0.000831999999999944,2.59743031420798
36,1,2016-09-05,2016-08-29,7,0.203335839576694,0.0463258272258955,0.0562276039599709,0.0425574904701638,75,62.5,0.00134600000000007,3.79149935603157
36,1,2016-09-05,2016-08-29,7,0.203335839576694,0.0463258272258955,0.0562276039599709,0.0425574904701638,75,62.5,0.00134600000000007,3.79149935603157
36,1,2016-09-05,2016-08-29,7,0.203335839576694,0.0463258272258955,0.0562276039599709,0.0425574904701638,75,62.5,0.00134600000000007,3.79149935603157
36,1,2016-09-05,2016-08-29,7,0.203335839576694,0.0463258272258955,0.0562276039599709,0.0425574904701638,75,62.5,0.00134600000000007,3.79149935603157
36,0,2016-09-05,2016-08-29,7,0.203335839576694,0.0463258272258955,0.0562276039599709,0.0425574904701638,75,62.5,0.00134600000000007,3.79149935603157
38,0,2016-09-05,2016-08-29,7,0.541058339000977,0.017774710781579,0.0268545744918606,0.0110821283888414,92.5,45,0.000520999999999994,1.55581352620674
38,0,2016-09-05,2016-08-29,7,0.541058339000977,0.017774710781579,0.0268545744918606,0.0110821283888414,92.5,45,0.000520999999999994,1.55581352620674
38,0,2016-09-05,2016-08-29,7,0.541058339000977,0.017774710781579,0.0268545744918606,0.0110821283888414,92.5,45,0.000520999999999994,1.55581352620674
38,0,2016-09-05,2016-08-29,7,0.541058339000977,0.017774710781579,0.0268545744918606,0.0110821283888414,92.5,45,0.000520999999999994,1.55581352620674
38,0,2016-09-05,2016-08-29,7,0.541058339000977,0.017774710781579,0.0268545744918606,0.0110821283888414,92.5,45,0.000520999999999994,1.55581352620674
39,1,2016-09-05,2016-08-29,7,0.0177628506676963,0.0457019299856573,0.0282326450019936,0.0153656525228135,127.5,72,0.00739099999999993,1.73814224919743
39,1,2016-09-05,2016-08-29,7,0.0177628506676963,0.0457019299856573,0.0282326450019936,0.0153656525228135,127.5,72,0.00739099999999993,1.73814224919743
39,0,2016-09-05,2016-08-29,7,0.0177628506676963,0.0457019299856573,0.0282326450019936,0.0153656525228135,127.5,72,0.00739099999999993,1.73814224919743
39,0,2016-09-05,2016-08-29,7,0.0177628506676963,0.0457019299856573,0.0282326450019936,0.0153656525228135,127.5,72,0.00739099999999993,1.73814224919743
39,0,2016-09-05,2016-08-29,7,0.0177628506676963,0.0457019299856573,0.0282326450019936,0.0153656525228135,127.5,72,0.00739099999999993,1.73814224919743
40,1,2016-09-05,2016-08-29,7,0.0273255467533923,0.0244051305361089,0.0263312267433762,0.0102500714731956,142.5,100,0.00233100000000008,1.50849596823843
40,1,2016-09-05,2016-08-29,7,0.0273255467533923,0.0244051305361089,0.0263312267433762,0.0102500714731956,142.5,100,0.00233100000000008,1.50849596823843
40,1,2016-09-05,2016-08-29,7,0.0273255467533923,0.0244051305361089,0.0263312267433762,0.0102500714731956,142.5,100,0.00233100000000008,1.50849596823843
40,1,2016-09-05,2016-08-29,7,0.0273255467533923,0.0244051305361089,0.0263312267433762,0.0102500714731956,142.5,100,0.00233100000000008,1.50849596823843
40,0,2016-09-05,2016-08-29,7,0.0273255467533923,0.0244051305361089,0.0263312267433762,0.0102500714731956,142.5,100,0.00233100000000008,1.50849596823843
41,1,2016-09-05,2016-08-29,7,0.00950088389435842,0.00530919654776441,0,0.0433816370853256,60,41,0.000899999999999901,1.19687930301999
41,1,2016-09-05,2016-08-29,7,0.00950088389435842,0.00530919654776441,0,0.0433816370853256,60,41,0.000899999999999901,1.19687930301999
41,0,2016-09-05,2016-08-29,7,0.00950088389435842,0.00530919654776441,0,0.0433816370853256,60,41,0.000899999999999901,1.19687930301999
41,0,2016-09-05,2016-08-29,7,0.00950088389435842,0.00530919654776441,0,0.0433816370853256,60,41,0.000899999999999901,1.19687930301999
42,0,2016-09-05,2016-08-29,7,0.21927541732356,0.025992141185137,0.0368761456506613,0.0195527544954758,117.5,91.5,0.00176299999999996,2.25601171006871
42,0,2016-09-05,2016-08-29,7,0.21927541732356,0.025992141185137,0.0368761456506613,0.0195527544954758,117.5,91.5,0.00176299999999996,2.25601171006871
42,0,2016-09-05,2016-08-29,7,0.21927541732356,0.025992141185137,0.0368761456506613,0.0195527544954758,117.5,91.5,0.00176299999999996,2.25601171006871
42,0,2016-09-05,2016-08-29,7,0.21927541732356,0.025992141185137,0.0368761456506613,0.0195527544954758,117.5,91.5,0.00176299999999996,2.25601171006871
43,1,2016-09-05,2016-08-29,7,0.189182040054885,0.0287086562628799,0.0366489254606479,0.0262910879824365,150,98,0.00128000000000017,2.43134226449825
43,1,2016-09-05,2016-08-29,7,0.189182040054885,0.0287086562628799,0.0366489254606479,0.0262910879824365,150,98,0.00128000000000017,2.43134226449825
