"plantNum","weight","lgw","trich","tough","lat","c8.4","c10.2","c10.7","c18.1","c.pca","date.in","date.out","daysout"
107,0.00124,-6.69264389936519,43.5,100,0.00143500000000008,0,0.0877484573641763,0.0568459965108735,0.0338306630313379,4.00267405434296,2016-09-13,2016-09-06,7
107,0.00127,-6.66873837851164,43.5,100,0.00143500000000008,0,0.0877484573641763,0.0568459965108735,0.0338306630313379,4.00267405434296,2016-09-13,2016-09-06,7
107,0.00223,-6.10575369351011,43.5,100,0.00143500000000008,0,0.0877484573641763,0.0568459965108735,0.0338306630313379,4.00267405434296,2016-09-13,2016-09-06,7
110,0.00322,-5.73837391942582,90.5,122.5,NA,0,0.0491891851941325,0.0586095987745343,0.0359739029386555,4.16035664389612,2016-09-13,2016-09-06,7
110,0.00395,-5.53403970006911,90.5,122.5,NA,0,0.0491891851941325,0.0586095987745343,0.0359739029386555,4.16035664389612,2016-09-13,2016-09-06,7
110,0.00455,-5.39262804601928,90.5,122.5,NA,0,0.0491891851941325,0.0586095987745343,0.0359739029386555,4.16035664389612,2016-09-13,2016-09-06,7
110,0.00451,-5.40145812546755,90.5,122.5,NA,0,0.0491891851941325,0.0586095987745343,0.0359739029386555,4.16035664389612,2016-09-13,2016-09-06,7
113,0.00356,-5.6379947341182,37.5,107.5,NA,0.0202552560404256,0.0362840336800648,0.0366907338369567,0.0166418593539355,2.424385157107,2016-09-13,2016-09-06,7
113,0.00212,-6.15633919029822,37.5,107.5,NA,0.0202552560404256,0.0362840336800648,0.0366907338369567,0.0166418593539355,2.424385157107,2016-09-13,2016-09-06,7
113,0.00382,-5.56750485636365,37.5,107.5,NA,0.0202552560404256,0.0362840336800648,0.0366907338369567,0.0166418593539355,2.424385157107,2016-09-13,2016-09-06,7
113,0.00413,-5.4894778720092,37.5,107.5,NA,0.0202552560404256,0.0362840336800648,0.0366907338369567,0.0166418593539355,2.424385157107,2016-09-13,2016-09-06,7
114,0.00727,-4.92399898743671,NA,132.5,0.000918999999999892,0.00346788466386917,0.109711020872553,0.0445170317335769,0.0307771314766977,3.2657863300524,2016-09-13,2016-09-06,7
114,0.00449,-5.40590257722797,NA,132.5,0.000918999999999892,0.00346788466386917,0.109711020872553,0.0445170317335769,0.0307771314766977,3.2657863300524,2016-09-13,2016-09-06,7
114,0.00477,-5.34540897408189,NA,132.5,0.000918999999999892,0.00346788466386917,0.109711020872553,0.0445170317335769,0.0307771314766977,3.2657863300524,2016-09-13,2016-09-06,7
